"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-06","12.30",,"0.00",,"0.0","0.0",,"82","29",,"  230","  230","19.9","25.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-07","9.62",,"0.00",,"0.0","0.0",,"83","35",,"  290","  290","17.0","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-08","10.51",,"0.00",,"0.0","0.0",,"76","43",,"   20","   10","25.9","31.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-09","11.86",,"0.00",,"0.0","0.0",,"78","39",,"  200","  200","25.1","33.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-10","10.96",,"0.00",,"0.0","0.0",,"72","39",,"   20","   20","17.0","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-11","16.11",,"0.00",,"0.0","0.0",,"45","33",,"   20","   20","36.9","45.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-12","9.84",,"0.00",,"0.0","0.0",,"54","25",,"  200","  180","21.9","28.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-13","8.95",,"0.00",,"0.0","0.0",,"70","33",,"  250","  250","17.0","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-14","13.42",,"0.00",,"0.0","0.0",,"76","37",,"  230","  230","23.9","31.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-15","14.54",,"0.00",,"0.0","0.0",,"51","24",,"  360","   20","25.1","32.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-16","11.86",,"0.00",,"0.0","0.0",,"43","22",,"  360","  360","23.0","29.1","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-17","9.40",,"0.02",,"0.0","0.0",,"45","24",,"   10","   10","25.9","32.0","    1",,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-18","7.16",,"0.00",,"0.0","0.0",,"56","21",,"   30","   30","15.0","19.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-19","15.66",,"0.00",,"0.0","0.0",,"74","28",,"  190","  190","31.1","36.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-20","10.74",,"0.00",,"0.0","0.0",,"75","30",,"  360","  360","38.0","52.1",,,,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-21","11.41",,"0.00",,"0.0","0.0",,"54","30",,"   10","   20","23.9","32.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-22","19.46",,"0.04",,"0.3","0.0",,"40","13",,"   20","   60","31.1","45.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-23","9.40",,"0.15",,"3.5","3.1",,"19","11",,"   20","   30","21.9","27.1","    1","    1",,,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-24","10.51",,"0.00",,"0.0","2.0",,"45","14",,"  360","   20","23.9","29.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-25","13.42",,"0.01",,"0.0","0.0",,"58","24",,"   40","  360","25.1","32.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-26","16.55",,"0.00",,"0.0","0.0",,"36","19",,"   30","   30","25.9","32.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-27","12.97",,"0.23",,"2.8","2.0",,"20","11",,"  120","  110","18.1","21.9","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-02-28","10.51",,"0.02",,"0.2","2.0",,"25","11",,"  200","  170","15.0","19.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-01","7.16",,"0.00",,"0.0","1.2",,"32","22",,"   50","   40","13.0","15.0","    1","    1",,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-02","12.30",,"0.00",,"0.0","0.0",,"36","27",,"  190","  190","23.9","29.1","    1","    1",,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-03","12.75",,"0.01",,"0.0","0.0",,"59","34",,"  200","  190","29.1","36.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-04","17.67",,"0.02",,"0.1","0.0",,"37","20",,"   30","   20","29.1","36.0","    1",,,,,"    1",,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-05","9.62",,"0.00",,"0.0","0.0",,"46","12",,"  220","  220","18.1","23.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-06","10.74",,"0.00",,"0.0","0.0",,"62","25",,"  180","  180","16.1","19.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-07","10.07",,"0.00",,"0.0","0.0",,"63","29",,"  180","  180","19.9","23.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-08","8.05",,"0.00",,"0.0","0.0",,"64","37",,"  130","  180","17.0","21.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-09","7.61",,"0.00",,"0.0","0.0",,"63","38",,"   70","   50","15.0","21.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-10","5.59",,"0.00",,"0.0","0.0",,"69","33",,"  160","   80","13.0","19.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-11","8.05",,"0.00",,"0.0","0.0",,"71","35",,"  170","  170","16.1","19.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-12","10.74",,"0.00",,"0.0","0.0",,"70","37",,"  160","  170","19.9","23.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-13","12.30",,"0.00",,"0.0","0.0",,"71","38",,"   40","   50","29.1","44.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-03-14","11.63",,"0.00",,"0.0","0.0",,"66","38",,"   10","  360","23.9","32.0",,,,,,,,,,
